respondent,bususefrequency,age,gender,bicycleuse,bikeuse,caruse,bususe,walking,BT1,BT2,BT3,BT4,BT5,BT6,BT7,BD1,BD2,BD3,BD4,BCM1,BCM2,BCM3,BCM4,BTER1,BTER2,BTER3,BTER4,BTER5,EMP1,EMP2,EMP3,EMP4,EMP5,CS1,CS2,CS3,PV1,PV2,PV3,WOM1,WOM2,WOM3,EP1,EP2,EP3,EP4,SQcomparison,LS1,LS2,LS3,LS4,LS5,weather
1,4,26,0,1,1,1,5,4,5,5,4,6,6,6,7,6,6,6,6,4,4,4,5,4,4,3,3,5,4,4,3,3,2,4,4,4,4,4,4,3,3,3,4,4,4,4,2,1,1,2,2,2,November
2,1,24,1,5,1,2,2,2,4,5,4,4,4,4,4,4,4,5,4,6,5,5,5,4,3,3,4,3,4,4,4,4,4,3,3,3,3,3,1,1,2,2,5,5,5,5,3,4,4,4,4,4,November
3,1,22,0,3,1,1,1,5,3,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,4,4,3,3,2,3,4,3,3,3,3,3,3,3,2,3,2,2,2,2,4,4,4,4,3,November
4,4,33,1,1,1,3,5,4,7,7,7,7,7,7,7,4,4,5,4,3,4,4,4,5,6,5,5,5,3,5,4,3,3,5,5,4,3,1,3,4,4,5,5,5,6,6,3,3,3,4,3,2,November
5,1,23,0,1,1,5,1,3,6,5,6,7,6,7,5,4,6,5,5,6,5,5,6,3,6,4,5,4,6,3,3,4,5,4,5,4,3,2,1,2,2,1,2,5,4,1,2,5,6,6,6,6,November
6,4,23,0,3,1,1,5,3,5,5,3,5,5,6,4,5,5,4,4,6,2,4,4,3,3,4,5,7,2,5,3,3,5,3,3,3,5,5,7,3,3,3,2,3,3,3,1,3,4,5,3,4,November
7,1,25,0,1,1,4,2,5,5,6,7,5,5,4,4,3,3,2,3,1,3,3,4,3,3,4,5,6,5,3,5,5,5,4,3,4,3,3,3,2,4,2,6,5,5,6,2,3,3,5,3,5,November
8,1,23,0,1,1,1,1,5,4,4,4,4,3,3,3,4,4,4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,2,7,7,7,5,2,5,4,4,4,7,November
9,4,22,0,1,1,4,5,2,5,5,6,6,7,7,6,5,6,4,5,7,5,3,5,6,7,7,7,6,2,4,4,3,5,7,7,7,4,4,6,3,5,2,6,6,6,6,3,5,5,5,2,3,November
10,1,25,1,1,1,5,2,4,4,4,4,4,4,4,3,4,4,4,4,5,3,3,3,3,6,3,4,6,2,4,3,4,3,4,4,4,3,3,3,3,3,3,5,5,5,5,2,4,4,4,4,4,November
11,2,23,1,4,1,1,4,4,5,5,4,3,4,5,5,3,6,3,5,6,4,1,1,4,1,1,1,3,2,1,1,2,2,4,4,4,3,3,3,1,1,1,6,3,2,4,3,5,5,5,5,5,November
12,3,21,0,3,1,1,3,5,5,4,4,4,5,6,6,5,5,5,5,7,6,6,6,3,7,4,4,7,6,7,7,5,5,4,4,5,5,5,5,6,6,2,6,6,5,5,3,4,5,7,5,4,November
13,4,23,0,3,1,1,4,3,7,5,4,5,6,5,4,6,6,6,4,6,5,4,4,5,6,4,3,5,2,5,1,4,5,5,5,5,4,3,5,5,5,5,6,6,7,7,3,5,6,6,5,6,November
14,1,23,1,5,1,3,2,5,6,4,5,5,5,4,5,5,5,5,4,3,3,1,1,5,1,1,2,2,4,3,3,4,2,1,1,1,1,1,1,1,1,1,7,6,6,1,2,5,4,7,4,1,November
15,1,24,0,5,1,1,2,4,4,5,6,3,4,6,6,5,5,5,6,4,5,4,4,5,4,4,5,6,6,6,5,4,5,5,5,5,5,5,6,3,5,4,7,7,6,7,3,5,5,5,5,5,November
16,3,23,1,5,1,2,4,3,3,3,4,5,4,3,3,4,2,4,6,6,4,4,4,1,7,3,7,7,7,6,6,5,4,4,4,3,1,1,1,2,2,2,3,3,3,6,1,6,6,6,6,6,November
17,1,22,1,4,1,2,1,5,3,3,4,5,4,5,5,4,6,3,5,2,4,4,4,1,1,3,1,2,3,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,4,5,2,4,5,4,3,3,November
18,1,24,0,4,1,2,2,3,6,6,6,6,5,6,6,6,5,6,6,7,6,6,6,6,7,6,6,6,7,7,6,6,7,6,6,6,6,7,6,6,6,7,6,6,6,6,3,6,6,6,6,6,November
19,3,22,1,1,1,1,3,3,3,2,5,4,3,4,4,3,3,2,4,4,4,4,4,4,5,4,4,5,5,5,4,4,3,4,4,4,5,5,5,4,4,4,7,7,6,6,3,4,5,5,6,5,November
20,4,26,0,1,1,5,5,4,6,4,2,6,3,7,7,4,6,7,6,7,7,7,7,5,6,6,6,3,3,7,7,6,6,6,6,5,3,3,2,5,5,5,3,4,4,4,3,5,5,6,6,6,November
21,1,24,0,5,1,3,3,3,5,5,4,4,4,4,4,6,6,5,4,5,4,4,4,5,6,3,6,6,2,5,5,4,6,4,4,4,3,3,2,2,4,4,6,6,4,5,2,5,4,6,6,6,November
22,3,22,1,4,1,1,4,5,4,4,2,4,4,7,7,4,6,5,5,7,4,3,3,5,2,5,5,6,3,1,2,2,2,3,3,3,3,1,2,1,1,1,3,3,3,3,2,6,6,6,6,6,November
23,4,25,0,5,1,1,5,5,7,7,7,7,7,6,7,7,7,7,7,7,7,4,7,7,7,7,7,1,3,7,3,3,3,7,7,7,4,4,4,7,7,1,7,7,7,7,2,4,4,4,4,4,November
24,2,22,1,4,1,1,3,5,6,6,6,6,6,6,6,6,6,3,4,3,4,4,4,4,2,3,3,4,4,3,2,4,4,3,3,3,3,2,4,1,4,2,5,5,5,4,3,3,4,3,4,3,November
25,4,25,1,1,1,3,5,3,2,6,4,3,4,4,5,1,4,1,4,7,4,4,4,4,5,4,3,2,1,2,1,1,5,4,4,4,1,1,1,1,4,1,5,4,4,4,2,7,7,7,7,7,November
26,2,23,1,5,1,1,2,2,5,5,5,4,6,4,5,5,5,4,3,6,4,3,4,5,4,3,3,4,4,5,4,4,3,4,4,4,2,2,4,3,3,3,5,4,5,4,3,4,4,3,6,4,November
27,1,22,0,1,1,3,3,4,7,4,3,7,6,7,5,6,7,5,5,7,5,4,6,5,7,6,7,7,5,6,6,6,4,5,5,5,5,5,7,5,5,6,6,6,5,6,2,4,5,4,3,2,November
28,4,24,0,1,1,1,5,4,3,4,1,4,5,4,5,2,5,5,4,3,4,4,4,4,4,5,5,6,5,5,6,4,5,4,4,4,6,6,6,4,6,6,5,5,4,5,2,3,4,5,3,4,November
29,1,23,0,2,1,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,5,5,6,6,6,6,3,6,6,6,6,5,November
30,4,23,0,1,1,3,3,3,6,6,2,5,5,4,6,4,6,4,4,5,5,4,4,5,6,3,4,4,1,3,2,3,4,4,4,4,4,5,4,4,4,3,5,4,2,3,2,6,6,6,5,6,November
31,1,26,1,1,1,5,1,3,5,7,5,4,3,7,6,6,6,4,3,7,3,3,3,3,7,1,6,4,3,5,6,2,3,4,4,4,3,3,1,1,1,1,5,5,5,5,3,6,6,7,6,6,November
32,4,23,1,1,1,1,5,5,4,6,4,6,6,5,4,6,6,6,6,6,5,5,5,3,4,2,5,6,6,6,6,5,5,4,3,3,4,4,6,5,5,3,5,5,5,5,3,6,5,5,5,5,November
33,4,25,0,3,1,1,4,3,5,6,5,6,3,2,3,5,6,4,4,3,4,2,4,5,2,3,4,7,3,5,5,2,6,4,4,3,5,5,6,2,5,3,5,5,5,6,3,5,5,6,6,3,November
34,4,25,0,1,1,4,5,1,4,6,4,5,5,7,6,6,7,5,4,7,5,4,4,5,7,3,5,6,6,5,6,4,6,4,4,4,6,7,7,4,4,4,4,4,4,4,2,5,5,7,7,4,November
35,4,24,0,1,1,2,5,3,7,7,3,5,6,6,7,3,7,4,5,6,5,4,4,5,3,4,7,7,6,7,7,3,5,5,5,5,6,4,4,4,5,4,5,5,5,7,1,5,6,7,6,7,November
36,1,23,1,4,1,4,3,5,5,5,5,5,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,2,7,7,7,7,7,November
37,2,22,0,2,1,1,2,5,6,4,4,5,5,6,6,5,6,6,5,6,5,5,4,6,7,5,7,7,4,6,1,4,6,4,4,4,5,5,5,4,4,4,5,5,5,5,2,5,5,5,5,5,November
38,4,23,0,1,1,1,3,4,6,6,5,3,3,6,4,6,7,6,4,4,5,4,4,6,5,3,5,5,5,6,2,4,6,4,5,5,6,6,7,5,6,3,7,7,7,5,3,5,6,6,5,7,November
39,1,34,1,1,1,4,1,2,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4,5,5,2,5,4,5,4,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,2,6,6,6,5,6,November
40,1,24,0,2,1,1,2,5,4,6,5,5,5,7,7,4,7,7,6,6,6,6,6,6,7,6,7,6,5,6,5,5,6,5,5,5,5,5,6,6,4,4,6,6,6,6,3,5,5,5,5,5,November
41,2,23,1,4,1,3,3,4,3,5,4,4,4,5,5,3,4,5,4,7,4,4,4,4,1,1,1,4,3,4,3,4,4,5,5,7,3,3,3,4,5,4,5,5,5,5,3,5,5,5,5,4,November
42,1,23,0,3,1,5,3,2,1,4,2,3,5,7,6,6,6,2,5,7,6,4,5,3,4,5,2,2,2,5,4,5,5,3,2,2,2,2,1,1,1,1,2,4,3,5,2,5,6,6,6,6,November
43,1,25,1,4,1,4,3,3,5,6,6,6,5,7,7,6,4,5,5,7,6,6,6,5,4,5,5,6,6,5,3,4,5,4,4,4,5,5,3,4,4,4,6,6,6,6,2,6,6,6,6,6,November
44,4,25,0,4,1,1,5,4,7,7,6,6,6,6,7,5,6,4,4,1,3,4,6,5,2,2,3,3,2,1,1,4,4,2,2,2,1,1,1,1,1,1,6,6,6,3,2,5,5,5,5,1,November
45,1,26,0,1,1,5,2,3,3,3,6,5,4,5,6,3,6,5,5,4,5,4,5,3,6,6,4,4,1,3,4,3,4,3,4,2,1,1,1,1,1,1,7,7,7,5,3,4,4,4,3,5,November
46,4,30,1,1,1,3,5,2,6,5,5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,5,5,5,7,7,7,7,3,6,7,7,7,7,November
47,4,32,1,5,1,1,5,5,6,6,4,6,2,6,6,4,4,3,2,6,1,1,1,4,1,1,1,2,1,5,3,1,4,4,4,4,4,4,4,4,4,1,5,5,5,5,3,6,6,6,6,4,November
48,4,26,0,2,1,1,3,5,4,5,4,4,3,4,5,6,6,4,4,6,1,3,4,4,3,5,4,5,2,3,4,1,3,2,1,1,3,3,1,1,1,1,6,6,6,6,2,4,5,7,6,5,November
49,1,22,0,1,1,2,1,2,4,4,5,4,3,2,3,4,4,4,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,5,5,5,6,November
50,4,22,1,1,1,1,5,5,6,6,6,6,4,2,5,1,2,3,1,6,1,1,2,6,2,2,2,5,6,6,3,5,4,4,4,4,1,1,2,1,3,3,6,6,6,6,2,6,5,4,7,7,November
51,4,21,1,1,1,1,5,5,6,6,7,4,4,6,6,1,3,3,2,2,3,2,2,5,5,5,5,6,6,6,3,3,2,4,4,5,5,2,3,3,3,3,6,6,7,7,3,6,6,7,7,5,November
52,4,20,1,1,1,2,5,4,5,5,6,6,5,5,5,4,5,4,4,4,4,4,4,4,5,3,3,3,4,5,3,4,4,4,5,5,4,4,4,3,3,4,6,6,6,6,3,5,5,5,5,5,November
53,1,20,1,1,1,4,1,3,3,4,3,4,3,4,3,2,2,3,3,3,3,3,3,1,2,2,3,4,4,3,4,2,2,3,3,3,2,2,2,4,2,4,4,2,4,3,2,5,4,6,7,7,November
54,1,21,0,2,1,2,3,5,2,4,6,5,3,4,6,5,5,1,4,6,4,5,6,5,5,1,3,5,5,4,2,1,5,4,4,4,3,3,3,1,4,2,5,6,6,5,2,4,4,4,4,2,November
55,1,22,0,1,1,3,2,5,7,5,7,7,6,7,6,5,4,3,6,6,5,4,4,3,3,3,2,7,3,6,5,5,5,5,5,4,2,3,4,4,4,4,7,7,7,7,3,6,7,7,7,6,November
56,1,19,1,1,1,5,2,2,4,3,3,3,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,3,3,5,3,4,4,3,4,4,4,5,5,November
57,1,20,0,1,1,5,2,3,5,5,3,1,3,7,5,2,6,3,5,7,5,3,5,4,5,2,4,6,6,3,5,2,3,3,4,6,1,4,3,4,5,5,6,4,5,5,3,6,5,6,6,5,November
58,4,20,1,1,1,1,5,3,6,5,5,5,5,6,6,5,5,4,4,4,3,4,5,3,2,2,4,5,4,5,2,2,4,4,4,5,2,2,2,4,3,3,6,6,6,6,3,5,5,5,4,6,November
59,1,22,1,1,1,2,2,5,6,6,6,6,6,6,6,5,6,6,6,3,5,4,5,5,6,5,6,5,1,3,2,4,5,4,4,5,4,4,3,1,2,1,6,6,6,6,3,6,6,6,6,6,November
60,1,20,1,1,2,3,2,3,2,2,2,2,2,2,2,1,1,2,2,3,4,4,4,5,5,5,5,5,6,6,1,2,2,4,4,4,2,1,1,4,4,4,5,5,5,5,2,7,5,6,6,6,November
61,1,22,0,1,1,4,2,3,4,6,5,6,5,4,5,5,1,1,6,4,3,3,3,4,5,5,5,5,2,5,2,3,6,5,4,5,3,2,3,3,4,3,4,3,4,3,2,4,6,5,6,4,November
62,4,24,0,2,2,3,4,3,5,4,6,4,6,5,5,3,2,3,5,6,6,3,5,2,7,2,5,7,3,4,2,2,4,4,4,5,4,4,3,1,2,2,6,6,6,6,3,2,3,3,4,4,November
63,4,21,0,5,5,5,5,5,7,7,7,7,7,7,5,1,7,3,7,1,4,4,4,2,6,4,4,4,5,4,4,4,1,4,4,4,5,4,6,3,3,4,5,4,4,4,1,6,6,6,6,6,November
64,1,22,0,5,1,1,3,4,4,6,5,5,3,5,5,7,5,6,7,6,4,5,6,5,6,4,4,5,7,6,5,6,6,6,6,6,5,4,5,5,5,5,6,6,6,6,3,6,6,6,6,5,November
65,2,21,0,1,1,5,2,2,5,5,5,5,5,5,5,6,6,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,2,4,4,1,1,1,3,3,1,5,5,5,3,2,5,5,5,3,2,November
66,3,23,0,2,1,2,4,3,5,6,5,5,5,5,5,5,5,5,5,4,4,4,4,5,6,4,5,5,5,4,1,3,4,5,5,4,4,4,4,4,5,5,4,4,4,4,3,4,4,6,6,3,November
67,1,20,1,4,1,1,2,4,4,4,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,November
68,4,21,0,2,2,1,4,4,5,5,1,6,4,6,5,1,3,3,6,7,4,4,4,4,7,4,5,7,7,7,7,7,7,3,3,3,4,3,7,4,5,6,6,6,6,6,3,4,6,6,2,5,November
69,3,25,0,4,1,3,3,5,7,6,5,6,5,6,7,7,7,7,7,3,4,4,6,6,7,7,6,7,6,7,5,5,7,7,7,7,3,2,2,3,4,1,5,5,7,6,3,7,7,7,7,5,November
70,1,21,1,5,1,3,2,2,5,6,6,6,6,4,6,4,5,5,4,6,4,4,4,7,7,5,5,6,6,4,6,5,5,4,4,4,3,3,3,4,4,4,5,5,5,5,3,5,6,6,6,5,November
71,4,23,0,1,1,4,4,2,5,6,4,4,4,6,5,6,4,5,4,3,3,3,5,5,5,4,3,4,3,3,1,3,5,4,4,4,2,2,3,2,4,3,5,5,5,5,3,6,6,6,6,7,November
72,1,21,1,5,1,1,2,3,6,6,6,6,6,6,6,2,3,3,2,3,3,3,3,2,3,2,2,2,3,3,3,3,5,4,4,5,4,3,5,3,5,5,6,6,6,6,3,6,7,7,7,6,November
73,1,24,0,5,1,4,2,3,6,6,6,6,6,4,5,7,6,6,5,1,2,2,1,3,6,6,6,6,7,6,7,6,6,5,5,5,2,3,3,2,3,2,5,4,4,4,2,5,5,6,5,5,November
74,1,23,1,1,1,1,3,5,5,5,4,3,3,3,3,4,5,4,3,5,3,3,3,3,6,3,5,5,3,5,4,3,3,5,4,6,5,6,6,3,7,4,5,5,4,7,1,5,5,5,4,4,November
75,4,28,1,1,1,3,5,3,6,5,6,5,7,6,7,4,6,5,6,4,4,4,6,2,5,4,6,7,6,5,2,4,5,5,5,6,6,6,7,5,7,6,7,7,7,7,3,5,5,6,6,6,November
76,1,23,0,3,1,4,2,4,5,5,4,4,4,6,5,5,5,4,5,7,6,4,6,5,7,4,5,5,2,6,5,4,2,5,5,5,5,6,2,4,4,4,5,5,6,6,3,5,5,6,6,7,November
77,3,22,1,1,4,4,3,2,5,6,5,4,7,7,6,6,6,6,6,7,7,5,5,6,6,6,7,5,6,6,6,6,6,5,5,5,6,6,5,5,5,4,6,6,6,6,2,4,5,6,6,6,November
78,1,31,0,5,2,4,2,4,3,3,4,3,4,3,5,4,5,3,3,5,5,6,6,7,6,6,5,6,6,5,5,6,5,6,5,5,5,6,4,4,3,5,3,4,3,5,1,6,6,7,6,7,November
79,1,24,0,5,1,1,2,3,5,5,5,4,4,5,3,6,5,4,4,6,4,4,4,3,6,3,2,5,5,5,2,4,4,5,5,4,5,5,2,4,4,4,6,6,5,7,3,4,6,6,6,5,November
80,1,21,1,2,1,4,1,5,5,6,2,3,4,2,4,3,2,3,4,2,4,3,3,3,3,3,3,3,4,3,5,4,4,1,3,2,3,2,3,2,2,3,3,3,3,3,3,4,4,4,4,4,November
81,4,20,1,1,1,1,5,5,5,5,6,5,5,6,6,6,5,6,5,3,3,5,2,6,6,6,6,6,1,2,3,4,5,3,3,3,5,4,3,3,4,5,5,5,6,4,3,4,5,4,5,4,November
82,2,21,1,3,1,1,2,3,2,5,6,4,4,5,4,4,4,2,4,7,2,5,4,3,7,7,7,7,3,5,1,3,4,5,6,6,3,2,1,3,3,3,7,7,7,6,3,5,5,5,3,3,November
83,1,22,0,5,1,1,2,4,4,4,6,2,6,6,5,2,5,3,4,4,2,4,4,2,5,5,4,4,2,5,2,4,3,4,4,4,3,2,1,4,3,2,5,5,4,3,2,5,5,5,5,5,November
84,3,20,1,2,1,1,5,5,4,4,4,3,4,5,5,3,4,3,4,5,4,4,4,5,6,6,7,7,5,5,5,4,5,6,6,6,5,4,5,4,5,4,4,4,4,4,2,5,5,5,5,4,November
85,3,23,0,1,1,1,4,4,6,6,6,6,6,5,6,5,5,5,5,6,6,5,5,6,6,6,6,6,5,5,5,6,6,6,5,5,5,4,5,5,5,6,5,6,5,5,3,6,6,5,5,5,November
86,1,21,1,1,1,2,2,5,6,6,5,6,5,6,6,6,5,6,6,6,6,5,6,5,7,7,7,5,5,6,7,6,6,6,6,6,6,6,6,5,6,6,5,5,4,4,2,5,5,6,5,5,November
87,4,22,1,1,1,1,5,4,6,6,6,6,6,6,6,4,4,6,4,4,4,3,2,3,7,4,3,7,7,5,2,4,4,6,5,5,5,4,5,6,6,6,7,7,5,6,3,5,5,5,5,5,November
88,4,20,1,1,1,2,5,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,7,6,6,6,6,6,6,3,6,6,6,7,6,November
89,4,21,0,4,1,1,4,5,6,6,2,4,1,3,2,1,2,3,2,6,4,3,2,2,3,3,1,5,1,1,1,1,2,1,2,1,5,3,2,1,1,1,6,6,4,4,3,5,6,6,7,6,November
